Game 10M_frames_Mean 10M_frame_StdDev 50M_frames_Mean 50M_frames_StdDev 100M_frames_Mean 100M_frames_StdDev 200M_frames_Mean 200M_frames_StdDev
Ms.Pac-Man 2,626.7 521.1 3,446.0 462.9 3,916.6 542.5 4,440.5 616.4
NameThisGame 4,626.2 284.3 6,164.2 357.0 6,219.8 1,821.2 6,750.3 1,376.5
Phoenix 2,319.4 534.0 4,579.9 303.9 4,247.3 1,360.1 5,197.0 374.5
Pitfall! -0.3 1.2 -0.1 0.3 0.0 0.0 0.0 0.0
Pong 1.8 3.9 10.9 3.3 12.6 2.8 14.5 2.0
Pooyan 1,347.2 121.5 1,820.5 107.5 2,006.7 159.4 2,197.8 133.7
PrivateEye 36.7 46.3 36.2 49.2 27.9 44.9 44.2 49.3
Q*bert 3,535.9 745.2 4,605.7 567.3 5,931.9 1,174.4 6,992.9 1,479.0
RiverRaid 4,141.9 574.4 7,399.5 492.5 8,988.3 1,154.3 10,639.2 1,882.6
RoadRunner 18,258.0 2,876.9 23,380.2 5,940.3 28,453.4 3,227.4 31,493.9 4,160.7
Robotank 21.3 3.4 25.0 2.8 26.3 2.7 27.3 2.3
Seaquest 788.2 225.2 1,201.6 178.4 1,319.2 356.5 1,402.9 328.3
Skiing -29,965.4 59.9 -29,955.6 50.7 -29,955.9 57.7 -29,940.2 102.2
Solaris 480.9 185.1 585.5 213.3 704.2 264.3 807.3 216.2
SpaceInvaders 466.2 30.4 579.1 36.5 656.7 67.6 759.4 58.7
StarGunner 1,002.1 64.6 1,014.1 72.7 1,058.1 101.0 1,107.6 125.6
Tennis -0.1 0.1 -0.1 0.0 -0.1 0.0 -0.1 0.0
TimePilot 3,439.5 503.4 3,997.8 436.4 4,112.0 289.4 4,221.5 402.1
Tutankham 122.2 3.5 152.7 16.0 88.9 64.1 91.5 63.3
UpandDown 10,580.2 3,446.4 10,049.1 9,340.7 11,514.5 11,988.8 15,400.1 14,864.6
Venture 0.0 0.0 0.0 0.0 53.8 263.7 139.3 323.2
VideoPinball 11,271.1 1,142.7 13,259.3 1,327.2 14,334.7 1,097.4 13,398.0 3,643.7
WizardofWor 1,975.9 471.4 2,738.8 613.3 3,247.5 713.0 2,043.5 801.3
Yar’sRevenge 4,961.2 1,200.2 5,460.2 1,145.0 6,073.9 1,052.9 7,257.8 1,884.8
Zaxxon 1,180.9 618.8 4,539.6 1,401.0 6,701.4 1,974.3 8,166.8 3,979.8
